patientID,ssn,dob
641282,697635525,08-06-1987
802908,528518800,05-06-2002
554324,861417239,08-10-1950
580625,757746430,10-04-1969
844035,651672516,25-01-1953
238157,258804542,30-05-1959
711386,559973938,06-09-1955
307115,717003507,18-06-1953
598069,598659577,29-06-1961
467992,525501726,24-08-1957
652542,910113251,31-07-1957
381931,217179731,04-07-2019
640328,899983474,10-10-1972
158712,987564479,17-04-2013
649376,399645904,14-08-1983
966563,868593701,27-02-2014
978380,920627636,10-03-1937
520742,146924561,01-11-1931
865012,640608493,02-07-1952
658273,856082219,09-09-2022
393632,833477675,18-05-1982
606986,232652043,08-09-1961
752213,818701646,14-05-1966
721555,245320293,08-09-1953
126707,474738769,10-05-1991
130998,385683350,09-08-2019
362485,787626352,21-11-2021
525266,622790995,05-04-2018
516043,180715221,02-11-2010
503479,220985931,22-11-1961
455984,826520219,07-02-1956
732575,331296500,22-09-1963
467234,877606354,23-11-1963
585108,888655707,03-08-2022
704238,724606538,02-09-1978
417853,619984526,04-09-2018
787540,586290749,22-10-1970
792702,816504670,01-07-2009
160545,941909669,26-08-2019
942416,881098769,15-10-1958
360205,750728985,16-11-2001
532181,796142693,24-01-1965
773634,146269420,20-09-2022
913511,949585212,17-10-1976
469405,412954651,29-06-1970
507892,993917493,30-03-1999
645756,892679958,25-09-2016
278124,215739515,02-01-1967
913389,564874121,03-01-1979
891644,867020098,12-04-1944
323084,394823852,21-10-1964
384678,204045399,23-03-1973
909843,248397001,07-08-1998
178945,864178684,16-03-2008
600059,152411807,14-02-1953
848683,758026140,25-12-1967
469724,261993798,28-04-1982
612824,492557698,15-01-1971
601127,545271248,14-02-1983
178197,694438472,14-01-2013
194667,249287559,02-05-1964
422594,616826403,03-10-1937
157784,423208234,09-05-2015
676301,159364565,20-03-1983
780898,631721038,03-05-2002
270851,716669332,29-01-1968
617198,669643161,23-10-1986
863901,589193019,15-01-2013
786086,755935445,09-06-1942
191702,420519737,08-10-1976
854528,862616026,05-04-1962
525451,479183284,13-07-1964
485504,994576248,07-05-1974
701625,646627418,21-07-2021
254632,873612912,09-08-1946
687165,784875302,03-11-1943
958814,426627586,09-12-1965
707831,965949506,12-02-1979
798829,591314951,14-01-2004
469436,408811050,21-06-1965
899629,679007735,21-01-1953
185747,225354040,14-09-2010
918763,954930964,10-09-1960
488887,686659615,07-09-2017
359333,623283904,06-12-1960
501077,398624944,12-03-1958
740957,251857233,23-04-2021
279803,405345376,21-11-2016
637728,404358080,26-07-1953
395775,268046157,16-09-2012
185786,197276831,14-11-1976
762438,894736766,06-10-1978
203857,522749093,28-01-1956
216232,451673516,25-09-1960
385549,414044122,14-11-2014
437581,795315778,23-05-1976
561589,203565649,30-05-1983
245256,660582796,13-10-2017
582128,327853584,18-06-1966
759269,945129250,07-06-1950
330728,316271342,18-05-1964
580404,897324872,01-11-2015
193497,156305915,12-08-1957
563407,443188054,09-11-2020
737364,106698050,03-10-1973
237029,868735271,03-07-1956
619820,483815412,24-02-1979
462746,592224760,05-12-1969
740105,655393630,22-06-1969
166031,353281349,24-07-1982
811644,223632147,14-01-1958
225249,760688179,13-07-2007
597240,502168865,17-10-1942
435923,772643283,22-01-1973
961572,361576673,09-11-1975
355769,981093480,01-04-1959
943924,546365875,17-09-1982
709361,207740360,19-02-1962
882429,864275137,02-08-1960
829993,751181683,18-12-1980
918949,523388517,08-09-1966
294645,869797449,03-12-1969
595678,930302946,18-10-1971
727059,286545083,21-05-2021
891976,699550049,12-01-1976
813446,218661464,27-06-1966
861053,506386465,03-09-1983
946424,597750804,10-03-1955
319997,653009141,10-06-1928
423494,729402631,04-12-1972
222690,422658665,08-06-1954
475836,193696193,14-04-1969
568263,943671421,29-09-1958
300294,538194209,02-12-1963
559931,898018547,08-04-2019
271113,818091635,24-12-1968
593200,393934865,15-06-1956
425793,928626545,17-03-2019
621852,839037119,22-07-1939
137566,874260464,12-01-1978
169107,185989476,09-12-1963
520796,389785042,18-08-1972
860776,876125973,12-05-1978
584080,746551640,09-02-2022
701698,951147660,05-09-1989
835786,413193024,10-10-1956
683335,677371810,09-05-1971
690275,344309709,02-04-1963
882064,750368139,11-10-1962
303413,563742738,22-06-1995
256842,271947625,27-02-1967
409771,965506312,17-09-2016
436896,884345785,02-05-1963
303924,267418602,12-02-1933
805902,497698763,25-03-2015
941104,113897083,03-03-2022
550160,890566800,30-12-2021
925124,265995011,19-05-2019
874382,274502463,25-06-1957
525039,592562760,28-03-1972
918674,647397501,24-10-1964
312217,974018882,09-12-1966
148175,749582422,24-02-1976
902952,337944353,09-05-1981
116989,461289224,05-07-1954
390561,968742136,08-01-2016
946641,920254673,18-01-1967
418221,295980351,25-01-1933
579682,971749925,27-08-2006
575142,763913112,25-05-1963
337295,781618731,05-01-1943
594986,662355672,15-08-1969
261158,419025030,12-02-1953
497437,712943526,27-06-1971
656800,678204292,18-09-2012
660377,463502395,18-12-2018
418801,907615582,18-05-1957
778946,466332446,26-03-1958
547349,545910982,20-11-2008
501002,635721805,29-05-1967
673776,198468302,22-11-2018
767550,118867549,27-10-1938
519620,447771528,21-04-1952
490571,148941052,01-08-1962
825823,680632429,26-10-2004
678540,246408521,12-07-1957
159048,162943434,22-09-1962
955463,579746515,19-03-1990
120420,514621233,06-03-1960
321804,148190301,20-02-1966
587020,341824774,07-02-1956
336225,461311535,27-05-1959
529724,778640634,30-07-1956
997163,228946797,23-09-1985
837322,273942151,28-04-1960
522117,699715561,28-08-1960
972516,215492060,24-03-1955
461557,335523944,15-09-1962
367577,830979886,02-01-1960
854007,995269030,27-11-1976
987169,535186667,29-09-2016
862994,900025720,25-10-1978
130392,939845981,14-11-1964
483573,490244151,03-08-1963
951234,760165939,29-10-1969
233895,904623007,08-03-1978
187435,350438751,09-10-1980
294454,223565394,28-07-1965
920075,549828584,11-08-1954
615597,697101862,18-03-1967
404575,648213114,14-03-1976
158326,161599176,26-10-1983
598375,386496093,29-05-1978
584951,230318801,27-06-1955
430116,603376431,09-06-1942
190261,123671043,12-12-2021
558383,280888732,01-03-2013
109940,213353527,20-01-1962
474304,192653530,27-02-2010
649225,646662244,13-03-1970
887395,365606620,28-06-1960
117504,463950924,05-07-1968
283710,424455618,04-08-1982
972432,908949557,25-05-1991
276834,737783939,15-11-1958
418578,565673152,06-08-1948
460158,970523695,03-07-1978
193845,999678788,15-07-1961
778395,164435777,14-02-1967
845465,275407431,03-05-2018
126581,711075273,01-12-1961
960685,955363679,16-01-1951
549104,719139733,03-04-1954
754976,235164657,22-11-2015
963732,352693325,23-04-1958
958528,405315147,19-08-2003
767899,534263496,26-09-1967
168677,586941826,15-01-1979
980662,214493052,01-09-1966
985210,723437937,15-09-2017
914514,680282210,01-07-2017
774432,382297488,24-10-1961
337377,156411808,01-12-1960
212816,306507843,11-11-2015
334528,666413235,05-07-1933
297653,932269151,18-04-1956
290035,149230193,16-04-1944
671013,670868601,08-06-2017
904023,855466790,25-08-2017
111904,674518027,02-11-1936
189474,149988577,22-06-2002
833468,140830351,24-07-1949
541342,227456303,04-02-1990
822161,375648248,15-07-2006
620081,550524102,21-05-1957
531739,242192501,24-11-1970
194204,677183130,04-05-1958
681461,166313798,14-06-2021
893766,985854664,10-05-1948
588527,146389443,24-08-2011
395258,445679281,24-04-1958
687746,877905438,12-08-2014
352424,627296691,29-06-2014
877545,818117205,06-07-1971
926421,881674819,09-09-1987
383837,459386013,01-07-1960
670767,343370160,01-04-1973
862008,259675376,02-03-1960
960147,664189842,06-03-1955
701090,905347935,19-04-1961
504331,667844871,31-10-2020
463954,801054721,21-05-2007
887059,885724100,07-07-1955
243090,144953216,09-08-1955
787619,122322370,04-01-1959
367767,876167079,03-05-1969
510897,257379355,18-04-1974
779141,634676104,13-10-2011
538427,672667505,09-12-1973
129482,410167187,16-09-1968
474846,694172672,23-06-2018
220926,233482484,03-10-2018
954358,516164033,02-02-1939
363655,805318545,13-03-1988
217451,328581842,07-12-1980
222278,353913533,01-09-1983
798141,913301588,09-11-1966
588277,406677649,23-10-1941
261665,567043131,13-10-1966
579246,563655254,08-11-1968
722640,850339412,15-05-1953
851584,930821352,16-04-1970
634288,765915153,15-07-1953
999069,200661951,07-09-2018
647874,366730196,16-12-1973
901667,421004699,17-07-1985
551124,568580830,21-01-1965
208250,949850084,20-03-1962
582668,862460185,02-06-1982
948179,887914033,28-05-1943
468080,687231026,17-02-2020
504971,216328182,08-12-1971
746918,891964278,25-03-2003
794139,615397659,06-09-1972
706361,539392728,27-02-1955
385235,354765409,31-05-1986
290387,206096364,01-08-2012
309770,154940774,07-01-1968
717683,474952928,21-12-2021
974613,523080649,01-01-1960
868755,672485029,11-05-2016
520633,656056370,05-04-1958
604897,167171153,14-04-1978
926055,760964086,08-02-2017
612754,897430740,25-11-1965
948510,177936115,10-01-1986
305423,265760780,02-11-1987
546334,702620682,23-05-2022
442298,835272024,20-08-2011
489164,703199049,20-03-1953
438461,236915920,03-01-2018
743501,283504908,23-05-1936
383302,175708442,10-07-1963
122944,147602799,29-12-1963
240513,769627641,02-09-1968
655077,470828061,17-06-1957
551555,877864809,29-03-1994
519045,992707935,08-12-1955
525116,214306514,27-05-1952
737277,667652832,15-02-1953
597830,392211586,30-03-1961
230446,176232998,10-05-1963
873958,848019332,16-05-1937
438381,749924069,30-06-1972
700013,625556272,28-05-1948
539600,547591319,24-11-1952
783315,574234320,01-04-1963
926757,937953510,07-06-1957
339115,439701267,17-08-1977
139495,510055914,07-02-1968
952104,427610256,07-02-2018
581945,130287957,10-09-1954
251710,524987405,05-06-2009
647558,191211526,27-10-1967
307484,850007915,28-01-1962
664962,235463211,11-01-1965
967562,990778901,09-07-1961
296590,167127953,15-01-1974
418591,997983489,10-04-1963
335996,189041576,07-12-1964
360364,148953189,12-12-1964
651565,775942015,14-11-1970
525318,418305932,06-05-1971
801152,648798639,28-03-1962
382502,577088862,12-08-1973
589565,701920243,25-01-2013
468078,718821861,03-04-1972
275784,602322443,19-03-1975
201436,444744660,30-07-1975
248443,842521764,22-03-1987
823695,662425963,28-03-1963
933530,227590763,09-12-1964
466248,113053999,03-04-2019
944212,434051690,03-10-1959
868051,331464618,25-08-1929
308390,180091203,16-03-1986
172961,236462130,01-09-2021
189268,756259489,01-05-1980
450252,769048940,21-02-2013
831202,430551397,06-05-2013
948316,936654444,29-03-1962
632088,135630549,19-01-2006
791197,623949755,06-01-2005
709117,936395446,12-09-1959
274595,647429138,01-02-1936
576604,567220860,10-05-1977
543126,937297477,18-09-2022
133570,866218236,17-09-1962
858999,701100007,06-09-1982
291173,575985891,09-05-2010
120106,223595275,17-04-2009
152563,267164706,20-01-1983
505205,558865850,31-10-1962
476572,262405811,16-06-1970
470553,307389314,15-07-2009
148613,226632081,23-01-1973
987158,534787600,05-01-2017
909891,739225225,22-11-2018
401413,163304608,30-12-1966
784063,302165545,04-02-1963
328822,231743691,01-12-1960
999825,239199072,19-04-1964
213174,818196979,20-01-1925
923696,960255665,16-09-1958
401478,522386575,28-05-2015
457115,463643617,04-04-1952
951473,353784052,03-07-1965
134406,127117157,28-03-1956
132463,320120531,01-09-1962
196926,349358835,16-08-1955
364248,240895466,16-06-2018
856574,808319361,19-09-1940
402390,660613240,29-06-1942
183723,889103463,17-05-1978
689839,341432185,11-08-1976
897145,245394078,17-03-1965
764158,103159859,25-05-2021
872093,189664962,15-04-1955
525427,674948649,20-02-1934
197633,130564631,22-05-1974
994628,354026627,14-09-1936
914343,774117802,22-12-1974
869976,807554118,13-03-1954
620566,704869701,31-10-1954
826997,665483140,23-12-2011
828482,716855251,02-01-1983
423594,469027874,16-03-1993
534192,835153157,14-11-1957
769874,607419749,25-11-1967
871493,473475604,01-08-1985
824365,121259760,04-12-1970
127700,987965931,09-04-2019
799510,953776434,19-06-1967
237523,975740962,20-07-1963
383286,523214844,23-11-1947
589457,594499310,08-09-1944
268116,951155589,24-03-2009
107231,805230747,11-02-1965
172066,900335889,05-07-2021
234588,795357499,02-03-2018
696681,602123656,07-12-2018
687585,942530659,21-06-1963
307993,791835708,13-03-1944
477539,613652947,28-10-2011
194507,508639306,16-06-1963
903998,664232962,23-05-1976
668275,687448024,10-08-2020
690773,623296022,06-11-1960
585890,974704805,21-11-1973
334254,520769513,12-08-2013
299420,458847083,20-06-1963
385164,166718704,31-08-1954
250487,113674929,18-08-1954
636941,888365967,27-10-2015
289675,371032956,14-02-1962
952046,663749399,16-09-2013
693223,537446949,30-01-2013
205367,374781579,24-04-2016
981868,323512809,09-11-1955
742087,810877499,18-03-2009
790766,311796168,28-05-1949
680456,394316643,13-08-1953
435366,554175635,16-11-1979
309416,530973802,16-03-1941
335925,780711552,02-09-2021
461913,159826646,27-07-1975
522291,376751107,31-03-1956
890922,347343314,04-10-1969
396455,238465377,27-01-1960
908924,465771136,10-11-2013
232006,334347737,20-03-2016
424110,743355297,22-03-1963
233719,790711466,05-04-1983
278565,275806061,05-06-1976
912655,526069700,20-03-1955
554600,654690076,14-09-2014
106317,482358659,01-12-1963
636911,581816897,02-11-1969
779904,102668992,05-05-1944
338849,937412559,22-08-1960
373494,554021282,08-02-1962
171682,424447377,12-01-1974
728602,552536124,05-10-2017
517165,915761521,16-06-1946
228878,831867960,18-12-1956
543626,693309290,24-06-1970
690465,445262095,28-03-1988
310268,163323570,10-04-2014
864515,761735925,24-03-1972
719939,854142350,01-02-1953
478776,662741109,11-02-1958
283507,313324569,13-06-1959
213161,785771675,14-08-1956
400779,165907144,13-03-2020
708434,660792833,03-09-2018
461201,362073415,27-04-1954
331166,374691418,09-08-1953
217467,496583208,24-05-1963
695220,237938795,20-12-1957
308721,719658878,13-04-1960
506343,889162757,06-02-1952
869773,718542186,27-04-2001
884006,277857879,13-08-1958
766829,745928724,10-10-1954
618466,963744251,23-05-2021
698486,189077941,25-06-1957
809573,460604912,05-10-2016
143179,930864063,23-04-2018
387158,975909258,24-04-1979
163110,281668559,10-03-2015
180433,401961694,26-02-2015
751515,240508618,04-09-1960
222590,552436843,29-06-1988
996816,264594871,21-11-2019
979993,669695788,13-12-2020
797818,432481222,24-11-1932
137709,223685278,27-02-1971
104329,225911039,02-09-2008
292360,382877275,31-03-1956
136589,348198448,28-09-1974
672197,793363847,01-01-2004
963283,296883795,18-03-1990
834354,133472879,15-03-2022
431725,962498870,03-02-1968
298677,127779481,18-04-1981
378890,183654185,10-11-1954
879007,513723014,13-08-1986
460612,259364583,27-04-1955
820402,627143754,08-09-2008
195296,114444980,14-01-1962
541175,698021626,05-07-1974
256854,298647816,14-07-2015
509667,574502644,15-01-2011
354757,150957526,27-03-1942
333689,962351367,05-10-1953
497881,937589128,10-11-1960
489317,744983336,21-09-1948
477663,652618239,22-11-1950
606916,777836090,25-01-1964
576625,895443881,25-11-1967
911983,447230672,02-02-1976
717219,724318717,15-09-1960
333386,539074901,09-11-1992
957323,306233382,03-10-1948
826782,623340197,16-09-1983
430124,530845400,01-07-1966
244401,979700983,19-09-1957
754256,620364136,21-04-1944
284480,212632600,02-04-2019
567260,394205658,11-02-1936
152044,387573762,24-04-1954
718600,895142948,12-01-1983
353900,827440348,02-10-1960
524960,363738818,02-05-1955
510692,621178152,21-10-1945
613515,904433288,23-11-1956
704143,673477149,20-06-1973
553322,509245832,14-03-1955
956210,712208769,27-01-1963
534903,605532440,05-07-1962
996314,364415247,28-10-1981
986350,999555263,21-05-2014
900416,612042822,25-06-1953
400957,167227160,23-06-1951
317739,698989721,11-05-1978
976087,988119729,14-08-1959
941169,198938129,06-01-2020
485215,506447851,17-10-2017
985123,987144820,20-04-1978
761592,216390476,18-12-1947
166426,674264787,05-06-1979
262655,218916773,08-10-1977
385842,286241696,01-12-2020
184640,339246206,23-12-1959
749179,940177927,25-04-1953
793269,307557793,15-01-2018
273084,928884638,18-04-1971
460864,912260786,22-07-1961
233154,326206435,01-04-1980
107381,300040007,06-06-1965
687654,447975269,10-12-2011
313301,576927622,27-06-1976
354685,626088543,09-06-1979
417762,417488520,01-02-1969
990221,547224573,01-08-1955
403272,738294107,23-08-1956
737189,253616127,13-10-2005
232130,833875674,06-09-1965
711072,473294145,14-01-1968
158653,152505792,07-08-1981
318164,635216424,05-09-2007
389008,504014600,02-11-1947
786627,902589808,06-09-1956
795596,784411178,18-10-2012
153318,833823379,28-10-1956
656737,451579457,08-03-1969
177183,179297750,01-06-1965
116368,157511420,12-09-1935
987960,362561337,14-09-1971
190578,725264380,18-11-1956
658164,753906945,22-04-1968
554623,944741012,28-04-1957
752825,776025571,28-02-2012
941048,282115800,13-08-1967
403760,406132927,12-12-1964
147348,240221156,14-07-1972
415579,651832852,25-09-2016
833323,798999326,09-10-2007
424422,519093868,27-03-2021
938279,171977042,14-03-2017
321252,276542801,28-06-1956
360841,322048601,22-10-2013
882082,929065954,07-02-1968
690358,706089838,29-09-2014
111201,242894332,29-03-2022
113934,886514317,26-10-1951
909032,853937062,12-03-2016
148912,100163825,23-11-1981
747398,975108020,01-07-1961
651010,876419685,16-02-2014
315936,789921709,09-08-2008
785637,772666886,09-08-1966
622206,240243221,16-07-1963
839475,465378872,18-05-1974
542849,765263209,16-12-1962
425885,726187215,09-11-1955
703275,427477633,11-10-1966
771177,338293400,06-05-1966
125979,623043225,23-01-1952
731998,596282126,12-12-1933
689010,925226037,11-06-1962
816662,459311440,16-12-1964
618239,427935207,28-03-1973
255984,322027632,14-12-2021
613663,450522597,15-11-2003
412660,926056270,12-03-2004
771240,896755341,11-10-1960
607804,972793941,21-01-1981
845608,165024758,28-09-1991
196223,875757460,06-02-1975
759277,944302753,15-08-1985
755893,406726781,15-05-1972
860171,276365956,24-02-1958
985681,258959353,17-07-1981
163282,584451875,31-03-1934
974024,384059461,17-11-1942
671805,846228767,17-02-1975
653447,454641630,31-08-2020
106320,139938234,02-10-2017
930608,763451990,29-05-1947
841555,698690036,01-11-2015
197227,865987407,08-04-1955
395695,818399797,04-04-2015
447082,393861608,30-08-1958
317858,567247701,23-11-1936
349893,494549384,01-07-1976
288950,374860769,10-08-1953
590085,874319901,23-08-1929
887460,264420041,09-02-1991
385857,819181544,24-06-1949
197215,911733892,21-05-1956
733837,266734663,19-03-1958
440201,855357123,30-09-2021
681692,570599720,10-07-1962
554645,922353645,02-12-2008
402493,956505296,24-01-1971
267088,894101224,11-12-1962
661495,650192682,09-08-1956
210732,661511800,10-08-2007
166607,705780986,19-04-2022
694180,517341046,08-08-1977
899632,917076639,21-03-1969
522327,342327881,19-02-2019
470210,966524022,26-08-1958
252450,651563145,06-11-1964
331794,256496696,07-05-1989
534626,693851165,03-12-1955
616228,276555472,30-04-1961
674417,390301379,27-04-1960
773202,155571505,26-12-1966
605148,134336379,03-09-1954
889972,425401116,28-03-2009
223754,992532484,02-10-2001
443797,638367815,05-11-1957
695684,152949255,23-08-1988
276058,343855920,02-08-1955
146009,172454289,10-08-1980
655906,469596798,08-03-1969
615145,954509974,14-01-1962
676593,910635662,07-02-1967
484408,832068361,30-05-1970
252846,112652968,03-01-2021
907096,140488026,10-12-1955
848484,316824952,25-01-1945
840780,137919883,24-01-1962
375303,828113565,08-09-1972
944590,220214748,05-12-1963
843863,291527152,11-06-1961
863411,410617405,24-08-2019
646766,136147082,11-05-1953
967545,640270854,15-03-1975
516596,328109537,19-05-1968
284265,921312156,05-08-2010
685854,283123403,15-03-1973
183286,742823896,04-02-1989
626512,176215116,16-09-1956
297299,271612592,11-07-1947
791932,102896824,24-07-2007
414084,880697284,23-08-1989
352308,450961900,25-01-1961
476189,342403540,23-09-2016
640593,980557353,31-10-1954
966639,378187944,01-05-1969
947586,668189411,06-09-1954
285642,409445088,05-10-1954
182755,744086297,16-08-2013
546471,399267077,01-11-1965
232878,526306090,13-08-2018
139952,606145177,11-11-1970
731953,540860826,15-01-2020
309450,501342101,25-01-1955
499735,201162622,21-11-2021
262875,724863575,03-06-1970
364213,903608790,20-03-2019
140357,340958499,12-07-1958
941161,293670759,28-12-1961
547863,708615003,03-11-1954
539294,371517719,25-09-1965
568057,741882203,21-08-1934
260610,223745894,10-03-2019
565962,666488225,15-02-1957
980399,238034196,01-01-1987
531403,985151499,11-07-1958
472839,760575270,20-07-1959
533060,132200777,07-04-2016
914269,842460579,27-07-1967
907793,394128084,13-07-1971
849085,223703118,24-08-1957
377894,956607630,26-06-1976
520829,973921616,07-04-1942
296121,261495086,28-03-1953
106919,514606033,11-04-1956
729435,275243528,31-05-1961
119810,712695352,10-06-2015
968326,686284314,05-10-1954
371547,962832631,12-06-1956
886554,604212445,24-06-2014
395207,358327556,23-11-1990
439655,786714154,22-09-1955
673207,761293596,19-01-1991
181914,989524231,16-10-1968
979150,264325916,03-05-1986
511030,392420654,02-09-1938
587217,167445620,30-06-1973
985339,920697657,26-11-1941
455281,527774806,20-10-1955
920978,591607811,06-03-1964
881692,612693543,25-03-2018
111669,866894224,05-07-1986
124830,529165546,16-11-1986
630152,347330123,29-12-1946
194579,162298279,20-11-1968
699300,560073983,17-10-1954
808454,929985590,21-04-1936
660883,764926959,16-10-1959
272922,680721566,28-08-1977
274599,743670512,18-01-1973
176449,893887745,08-01-1967
744778,877297882,12-04-2007
631086,678351506,17-10-1978
106949,282287360,21-04-1954
690116,520246506,22-02-1975
219073,732166675,19-09-2020
197120,339416271,23-09-1966
171660,216569012,01-03-1960
961182,597184587,29-04-1941
201183,294950502,18-01-2022
697568,766221267,14-12-1965
733243,373437857,24-02-1949
815642,908944933,02-10-1986
477621,151829085,25-06-1940
180974,308318006,29-08-2016
989357,949089154,13-01-1970
688977,932630987,02-08-1958
821256,266767180,22-07-1974
564492,728860397,24-12-1958
376755,374449670,31-03-1952
895807,887372109,03-08-1975
433058,647965509,08-09-1950
302472,698652291,30-08-2011
928468,395516970,16-03-1945
766050,399519172,02-03-1973
987725,534400134,20-09-1931
215349,421464542,20-09-2000
967776,729669041,08-01-2012
767804,558693549,18-01-2004
323261,913398084,31-01-2010
858259,109106342,29-09-2021
450658,629681056,03-11-1962
630351,751821153,28-12-2011
709714,802191676,06-04-2007
959930,202326049,02-03-1970
936128,326095909,21-06-1958
699256,697044275,15-05-1962
281722,317893469,10-05-1980
949396,912230262,02-09-1957
614574,889772747,18-04-1968
819897,200461987,30-05-1941
818237,826421569,19-09-1965
644488,518648422,05-08-1963
790297,995610377,25-03-2005
286513,728301649,12-08-1953
984425,670460436,22-08-1958
857896,845117808,20-07-2005
787505,930255626,19-12-1977
231948,204086487,03-03-1963
835831,859425919,17-03-1957
909775,236256825,02-05-2012
700936,663659770,28-01-1977
686157,883400176,16-04-1951
459598,779711946,25-10-1961
625422,483842719,05-11-1975
398713,377124271,19-12-2012
822357,180810148,18-12-1999
881843,683883434,15-02-1970
366212,184279333,02-02-1957
950885,553227473,17-01-1942
866334,828774441,13-01-2013
363611,731041151,31-10-1953
723125,849550019,23-02-1965
594697,201019716,25-03-1954
391236,326025464,27-08-1985
790287,980505943,04-12-1958
662074,162973438,14-12-1953
326674,534384101,16-09-2015
924217,728570264,16-03-2007
195166,557905863,23-08-2000
758192,822322965,20-11-1952
683809,897452305,10-07-2006
364616,476752057,07-10-1927
114127,705062104,01-11-2021
856403,451728227,06-07-1974
202407,284698004,17-09-1973
672183,709615216,09-10-1953
503763,921167510,07-06-1974
200927,373217122,18-02-1960
533428,970213401,02-03-1961
547308,631592081,30-08-1975
110990,332941938,06-04-1949
323245,572685863,27-09-1970
387112,368021334,15-10-1981
812584,700596741,14-05-1987
599202,812549968,30-11-1956
750412,618150371,02-04-1933
627793,219776717,17-09-2016
511477,326023903,27-01-1974
